"value_column","statistic_edible_parts","p_value_edible_parts","significance_edible_parts","statistic_location","p_value_location","significance_location","statistic_species_part_location","p_value_species_part_location","significance_species_part_location","statistic_domesticated","p_value_domesticated","significance_domesticated"
"AVERAGE_Mg_FW_mg_per_100_g",26.9246258503401,0.0293565050373053,"significant",18.3704304267162,0.0490273589606446,"significant",47.7551020408163,0.401268932050639,"not statistically significant",180,0.353111234506006,"not statistically significant"
"STDEV_Mg_FW_mg_per_100_g",14.9333173269308,0.456231101084151,"not statistically significant",9.8708051948052,0.451900275457475,"not statistically significant",43.9902040816326,0.556790232586633,"not statistically significant",141,0.877862576580387,"not statistically significant"
"STDEV_Mg_FW_mg_per_100_g",14.9333173269308,0.456231101084151,"not statistically significant",9.8708051948052,0.451900275457475,"not statistically significant",43.9902040816326,0.556790232586633,"not statistically significant",141,0.875132262024472,"not statistically significant"
"AVERAGE_Ca_DW_mg_per_100_g",53.2163737809308,0.000128046109880121,"significant",39.1915559610788,2.35004739681731e-05,"significant",76.9591041869523,0.353131357292991,"not statistically significant",215,0.563995986875233,"not statistically significant"
"AVERAGE_Ca_DW_mg_per_100_g",53.2163737809308,0.000128046109880121,"significant",39.1915559610788,2.35004739681731e-05,"significant",76.9591041869523,0.353131357292991,"not statistically significant",215,0.563995986875233,"not statistically significant"
"STDEV_Ca_DW_mg_per_100_g",48.8092964392964,0.000532947388952323,"significant",33.2506142506143,0.000247187347900979,"significant",72.7481081081081,0.355692346506048,"not statistically significant",183,0.829492297279229,"not statistically significant"
"STDEV_Ca_DW_mg_per_100_g",48.8092964392964,0.000532947388952323,"significant",33.2506142506143,0.000247187347900979,"significant",72.7481081081081,0.355692346506048,"not statistically significant",183,0.829492297279229,"not statistically significant"
"AVERAGE_Ca_FW_mg_per_100_g",47.8991167060787,0.000709729254581606,"significant",37.9795400639607,3.82641996372614e-05,"significant",76.3307367737747,0.371995464092741,"not statistically significant",299,0.38205528483509,"not statistically significant"
"AVERAGE_Ca_FW_mg_per_100_g",47.8991167060787,0.000709729254581606,"significant",37.9795400639607,3.82641996372614e-05,"significant",76.3307367737747,0.371995464092741,"not statistically significant",299,0.38205528483509,"not statistically significant"
"STDEV_Ca_FW_mg_per_100_g",41.0400377520378,0.0055434985190915,"significant",34.6391842751843,0.000143857754356634,"significant",70.7228828828829,0.419907150920446,"not statistically significant",230,0.219630688892179,"not statistically significant"
"STDEV_Ca_FW_mg_per_100_g",41.0400377520378,0.0055434985190915,"significant",34.6391842751843,0.000143857754356634,"significant",70.7228828828829,0.419907150920446,"not statistically significant",230,0.219630688892179,"not statistically significant"
"AVERAGE_Zn_DW_mg_per_100_g",35.2026769292592,0.0268222355305403,"significant",22.659453269872,0.0120758429487435,"significant",76.983446932814,0.35240947424061,"not statistically significant",149,0.083496549984525,"not statistically significant"
"AVERAGE_Zn_DW_mg_per_100_g",35.2026769292592,0.0268222355305403,"significant",22.659453269872,0.0120758429487435,"significant",76.983446932814,0.35240947424061,"not statistically significant",149,0.083496549984525,"not statistically significant"
"STDEV_Zn_DW_mg_per_100_g",29.9122076938532,0.0937664233761272,"not statistically significant",20.8597394815506,0.0220931225948399,"significant",75.2460240181759,0.405522033543406,"not statistically significant",75,0.0024909380078814,"significant"
"STDEV_Zn_DW_mg_per_100_g",29.9122076938532,0.0937664233761272,"not statistically significant",20.8597394815506,0.0220931225948399,"significant",75.2460240181759,0.405522033543406,"not statistically significant",75,0.0024909380078814,"significant"
"AVERAGE_Zn_FW_mg_per_100_g",40.2129720023269,0.00700550757751068,"significant",17.964159161905,0.0555712434094118,"not statistically significant",76.5225515735519,0.366190985292167,"not statistically significant",271,0.700523931152203,"not statistically significant"
"AVERAGE_Zn_FW_mg_per_100_g",40.2129720023269,0.00700550757751068,"significant",17.964159161905,0.0555712434094118,"not statistically significant",76.5225515735519,0.366190985292167,"not statistically significant",271,0.700523931152203,"not statistically significant"
"STDEV_Zn_FW_mg_per_100_g",35.572460996234,0.0244085567890099,"significant",20.575566732496,0.0242554739090412,"significant",76.066755195818,0.380047336022478,"not statistically significant",135,0.0481985394348261,"significant"
"STDEV_Zn_FW_mg_per_100_g",35.572460996234,0.0244085567890099,"significant",20.575566732496,0.0242554739090412,"significant",76.066755195818,0.380047336022478,"not statistically significant",135,0.0481985394348261,"significant"
"AVERAGE_Fe_DW_mg_per_100_g",56.4200553314477,4.37720565214305e-05,"significant",47.0051350142879,9.42243061008555e-07,"significant",76.6384290814671,0.362703767617467,"not statistically significant",144,0.0690396027663243,"not statistically significant"
"AVERAGE_Fe_DW_mg_per_100_g",56.4200553314477,4.37720565214305e-05,"significant",47.0051350142879,9.42243061008555e-07,"significant",76.6384290814671,0.362703767617467,"not statistically significant",144,0.0690396027663243,"not statistically significant"
"STDEV_Fe_DW_mg_per_100_g",42.2501157572586,0.00256527705976658,"significant",34.6458664878245,0.000143481511245023,"significant",74.7389277389277,0.389419994524195,"not statistically significant",77,0.00299769680177074,"significant"
"STDEV_Fe_DW_mg_per_100_g",42.2501157572586,0.00256527705976658,"significant",34.6458664878245,0.000143481511245023,"significant",74.7389277389277,0.389419994524195,"not statistically significant",77,0.00299769680177074,"significant"
"AVERAGE_Fe_FW_mg_per_100_g",50.4369352869353,0.000317048755825542,"significant",40.5632053438285,1.34805622268104e-05,"significant",76.2489451476793,0.374482471843905,"not statistically significant",208,0.484369249192013,"not statistically significant"
"AVERAGE_Fe_FW_mg_per_100_g",50.4369352869353,0.000317048755825542,"significant",40.5632053438285,1.34805622268104e-05,"significant",76.2489451476793,0.374482471843905,"not statistically significant",208,0.484369249192013,"not statistically significant"
"STDEV_Fe_FW_mg_per_100_g",33.5162971948686,0.0295891147101268,"significant",26.1229851733348,0.00357825165409791,"significant",73.3033633033633,0.435072545391745,"not statistically significant",118,0.024994686016615,"significant"
"STDEV_Fe_FW_mg_per_100_g",33.5162971948686,0.0295891147101268,"significant",26.1229851733348,0.00357825165409791,"significant",73.3033633033633,0.435072545391745,"not statistically significant",118,0.024994686016615,"significant"
"AVERAGE_HCN_DWppm",21.9835772357724,0.0556167579668392,"not statistically significant",15.2656430155211,0.122672950233694,"not statistically significant",35.8243902439024,0.52405520801605,"not statistically significant",32,0.00176543535676663,"significant"
"AVERAGE_HCN_DWppm",21.9835772357724,0.0556167579668392,"not statistically significant",15.2656430155211,0.122672950233694,"not statistically significant",35.8243902439024,0.52405520801605,"not statistically significant",32,0.00313267287323988,"significant"
"STDEV_HCN_DWppm",21.7192682926829,0.059867092310896,"not statistically significant",18.8364745011087,0.0423895418033923,"significant",38.0780487804878,0.420140102639958,"not statistically significant",67,0.0877607066461556,"not statistically significant"
"STDEV_HCN_DWppm",21.7192682926829,0.059867092310896,"not statistically significant",18.8364745011087,0.0423895418033923,"significant",38.0780487804878,0.420140102639958,"not statistically significant",67,0.0875297796304194,"not statistically significant"
"AVERAGE_HCN_FWppm",17.3280894308943,0.184736498530735,"not statistically significant",14.0012195121951,0.172935989423281,"not statistically significant",34.4292682926829,0.590178786654689,"not statistically significant",50,0.0181881571974451,"significant"
